Date,Open,High,Low,Close,Adj Close,Volume
9/5/2017,3.71,3.72,3.7,3.72,3.186508,45752500
11/5/2017,3.7,3.72,3.69,3.71,3.177943,84769200
12/5/2017,3.7,3.75,3.7,3.71,3.177943,51823400
15/5/2017,3.71,3.75,3.71,3.74,3.20364,32892325
16/5/2017,3.74,3.77,3.73,3.73,3.195074,21639400
17/5/2017,3.73,3.75,3.7,3.75,3.212206,20084200
18/5/2017,3.71,3.77,3.7,3.76,3.220772,27405300
19/5/2017,3.76,3.78,3.73,3.73,3.195074,29317800
22/5/2017,3.74,3.77,3.73,3.74,3.20364,17117800
23/5/2017,3.74,3.77,3.74,3.76,3.220772,16318700
24/5/2017,3.76,3.77,3.74,3.75,3.212206,15714200
25/5/2017,3.74,3.75,3.72,3.73,3.195074,28249196
26/5/2017,3.72,3.74,3.71,3.73,3.195074,22676800
29/5/2017,3.73,3.75,3.72,3.74,3.20364,9500700
30/5/2017,3.74,3.76,3.72,3.75,3.212206,15894700
31/5/2017,3.76,3.76,3.74,3.76,3.220772,26599700
1/6/2017,3.76,3.82,3.75,3.8,3.255036,28831200
2/6/2017,3.81,3.83,3.8,3.81,3.263601,18993700
5/6/2017,3.83,3.83,3.77,3.8,3.255036,19467700
6/6/2017,3.81,3.82,3.77,3.78,3.237904,17554200
7/6/2017,3.78,3.78,3.75,3.75,3.212206,27630900
8/6/2017,3.76,3.77,3.75,3.76,3.220772,20477800
9/6/2017,3.76,3.76,3.73,3.74,3.20364,20887200
12/6/2017,3.74,3.76,3.73,3.74,3.20364,18474800
13/6/2017,3.75,3.77,3.74,3.75,3.212206,33452000
14/6/2017,3.75,3.78,3.75,3.77,3.229338,14308300
15/6/2017,3.76,3.78,3.76,3.77,3.229338,14842900
16/6/2017,3.79,3.8,3.78,3.8,3.255036,19357200
19/6/2017,3.8,3.82,3.78,3.8,3.255036,10251900
20/6/2017,3.77,3.8,3.77,3.79,3.246469,9555800
21/6/2017,3.77,3.77,3.75,3.75,3.212206,25582100
22/6/2017,3.77,3.78,3.75,3.77,3.229338,11635400
23/6/2017,3.78,3.79,3.76,3.79,3.246469,12015700
27/6/2017,3.8,3.82,3.79,3.8,3.255036,14341300
28/6/2017,3.81,3.84,3.8,3.82,3.272167,19773000
29/6/2017,3.84,3.89,3.83,3.88,3.323563,24519800
30/6/2017,3.86,3.9,3.85,3.89,3.332128,25133700
3/7/2017,3.89,3.92,3.88,3.9,3.340694,28325700
4/7/2017,3.92,3.92,3.88,3.89,3.332128,25677400
5/7/2017,3.9,3.92,3.89,3.9,3.340694,18245800
6/7/2017,3.9,3.92,3.87,3.88,3.323563,15734300
7/7/2017,3.85,3.88,3.83,3.86,3.306431,19706800
10/7/2017,3.87,3.9,3.85,3.9,3.340694,15957900
11/7/2017,3.9,3.91,3.86,3.88,3.323563,13777300
12/7/2017,3.86,3.88,3.85,3.87,3.314996,13209700
13/7/2017,3.86,3.88,3.85,3.86,3.306431,16967800
14/7/2017,3.88,3.91,3.87,3.91,3.34926,28658500
17/7/2017,3.93,3.94,3.9,3.91,3.34926,24759300
18/7/2017,3.9,3.92,3.88,3.9,3.340694,18345900
19/7/2017,3.89,3.92,3.88,3.92,3.357826,19184400
20/7/2017,3.91,3.91,3.86,3.88,3.323563,24585900
21/7/2017,3.87,3.93,3.86,3.91,3.34926,29903500
24/7/2017,3.91,3.93,3.88,3.92,3.357826,11139900
